Confirmed,Source,KOR
,"小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述小队描述","소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대 묘사소대."
,"就这","이것으로"
,"尼欧","니오"
,"层","층"
,"屏蔽","차단하다"
,"展示","전시"
,"展示战姬","전시 전희"
,"属性加成","속성 더하기"
,"属性加成：","속성 추가:"
,"属性排序","속성 정렬"
,"属性","속성"
,"属性构成","속성 구성"
,"山猫小队","링스 소대"
,"工","공"
,"巨型傀儡","거대한 꼭두각시"
,"已使用","사용됨"
O,"已发生排异反应","거부반응 발생"
O,"已回复全部体力","모든 체력 회복됨"
,"已完成","완료됨"
,"已就绪","이미 준비가 되었다."
,"已强化到最大等级","최대 등급까지 강화됨"
O,"已歼灭","섬멸됨"
O,"已满","꽉참"
O,"已激活","활성화됨"
,"已经解锁","잠금 해제됨"
,"已装备","장비됨"
O,"已达到最大等级","최대 등급 도달"
O,"已达成","달성함"
,"已进入频道123(当前人数1)","채널 123 (현재 인원 1)"
,"已选中","선택됨"
,"已选择","선택됨"
,"已选择战姬 (0/16)","선택된 전희 (06)"
O,"已领取","수령 완료"
,"巴尔德","발더"
,"巴尔德西昂兵武塔","발데시옹 병무탑"
,"布里","브리"
,"布鲁","브루"
,"师团信息","사단 정보"
,"师团建设","사단 건설"
,"希尔雷安","힐레안"
,"帮助","도움"
,"常规招募战姬一览","일반 모집 전희 일람"
,"幸存者回忆录","생존자 회고록"
,"库存","재고품"
,"应用","응용하다"
,"底纹","밑주름"
,"废旧地块残骸","폐지의 잔해"
,"建议等级","권고 등급"
O,"建设","건설"
O,"开启","열기"
,"开启高帧率、渲染强化、HDR在手机性能不足时会导致过热和卡顿","높은 프레임률 켜기, 렌더링 강화, HDR은 휴대폰 성능 부족시 과열 및 끼임 발생"
O,"开始试玩","게임 시작"
O,"开","열기"
,"开始","시작"
O,"开始教学","튜토 시작"
,"开服","개복하다"
,"异化因子","이화인자"
,"异化航点","이화항로"
,"异形屏适配","이형 스크린이 잘 어울리다."
,"弧光
弧光","호광
호광"
O,"强化石","강화석"
O,"强化","강화"
,"强化光环","강화 후광"
,"强化及以下","강화 및 이하"
O,"强化技能","기능 강화"
O,"强化等级","등급 강화"
,"强化角色","배역을 강화하다"
O,"强袭","강습"
,"当前上阵","당면한 출사표"
,"当前体力","당면한 체력"
,"当前使用","현재 사용"
,"当前分数","현재 점수"
,"当前剩余挑战次数","현재 남은 도전 횟수"
,"当前可以累计购买次数(1/2)","현재 누적 구매 가능 횟수(1/2)"
,"当前可获得装备","현재 획득 가능한 장치"
,"当前在线","현재 온라인"
,"当前奖励","당면한 장려"
,"当前展示","현재 전시"
,"当前战姬为新角色，是否锁定？","현재 전희는 새 캐릭터입니다. 잠그시겠습니까?"
,"当前所在黄金组","현재 위치 황금 그룹"
,"当前拥有","현재 보유"
,"当前持有","현재 보유"
,"当前无此类型任务","현재 이런 종류의 작업이 없습니다"
,"当前碎片点数","현재 조각점수"
,"当前积分","현재적립금"
,"当前第四轮","현재 제4라운드"
,"当前进度","현재 진행 상황"
,"当前连胜次数","현재 연승 횟수"
,"当前选择","현재 선택"
,"当前选择进行升星的战姬","현재 승성을 할 전희를 선택하다"
,"当前配置","현재 설정"
,"当前队伍中","현재 대열에서"
,"当前频道 1","현재 채널 1"
,"当前5星概率","현재 확률 5개"
,"当队伍中","대열에서"
,"形象更换","이미지 교체"
,"形象","이미지"
,"影像品质","영상 품질"
,"影像","영상"
,"得分奖励","득점장려"
,"得到了5000","오천을 얻다"
,"必杀技动画","필살기 애니메이션"
,"必要条件","필요조건"
,"快速派遣","급파"
,"快速跳转","뜀박질"
,"快速选择","빠른 선택"
,"快速部署","신속 배치"
,"快速锁定","빠른 잠금"
,"急行瞪羚","급행 가젤"
,"怪声事件","괴성 사건"
,"怪物名字七个字","괴물 이름 일곱 글자"
,"总体概率","총체 확률"
,"总剩余","총잉여"
,"总加成","총가산"
,"总收藏率","총수장률"
,"总数","총수"
,"总获取经验","총 획득 경험치"
,"总获得好感度","총호감도"
,"总贡献","총공헌"
,"恢复体力","체력을 회복하다"
,"恢复费用减少","회복비용감소"
,"恢复默认","기본값 복원"
,"恢复默认设置","기본 설정 복원"
,"恶意广告","악의적 광고"
,"恶意骚扰","악의적으로 소란을 피우다."
,"您的队伍含有已进入数据锁定的战姬与装备，请更换后可季旭挑战","귀하의 팀에는 데이터 잠금장치에 들어간 전희와 장비가 포함되어 있습니다. 교체 후 계욱이 도전할 수 있습니다"
,"您要对xxxxxxxxxxx投诉的内容是","xxxxxxxxxxxxxxx에 신고할 내용은"
,"您领取的奖励包含锻素结晶，领取后降归属当前平台！您是否确认领取？","수령하신 인센티브는 단조 결정을 포함하여 수령 후 현재 플랫폼으로 귀속됩니다!수령을 확인하시겠습니까?"
,"情报","정보"
,"感染度：","감염도:"
,"感染等级","감염 등급"
,"戈尔贡","고르곤"
,"成功","성공하다."
,"我在东北玩泥巴","나는 동북에서 진흙장난을 하고 있다"
,"我已经明白了，大家信任我其实没有别的理由，只是因为大家都很温柔而已。","여러분이 저를 신뢰한다는 것은 사실 다른 이유는 없고, 단지 모두가 따뜻하기 때문이라는 것을 이미 알았습니다."
,"我方输出","당방 출력"
,"我方队伍","우리측 부대"
,"我是谁","나는 누구인가"
,"我的申请","나의 신청"
,"我的积分","나의 포인트"
,"我的脸色怎么了？啊，只是昨晚失眠了而已。不用担心，我的睡眠质量一直都不","내 안색이 어때서?아, 그냥 어젯밤에 잠을 잘 못 잤을 뿐이에요.걱정 마, 내 잠의 질은 줄곧 좋지 않아."
,"战力","전력"
,"战备增强设置","전비 증강 설정"
,"战姬名字","전희 이름"
,"战姬收集","전희 수집"
,"战姬","전희"
,"战姬情报","전희 정보"
,"战姬推荐","전희 추천"
,"战姬收集率","전희 수집률"
,"战姬简介","전희 소개"
,"战姬编号","전희 번호"
,"战姬评论","전희평론"
,"战姬试用","전희 시용"
,"战姬详情","전희상세"
,"战姬id","전희 아이디"
,"战斗力","전투력"
,"战斗动画设置","전투 애니메이션 설정"
,"战斗好感度","전투 호감도"
,"战斗已接近最大回合数，请尽快结束战斗","전투가 최대 회수에 가까워졌으니 빨리 끝냅시다."
O,"战斗效能","전투 성능"
O,"战斗胜利","전투 승리"
,"战斗记录","전투 기록"
,"战斗设置","전투 설정"
,"战斗难度较大","전투의 난이도가 비교적 높다"
,"战术","전술"
,"战术信息","전술 정보"
,"战术点","전술점"
,"战机名字","전투기 이름"
,"所在公会","소재조합"
,"所在分组 [ B ]","속한 그룹[ B]"
,"所属同盟前回排名","소속동맹전회순위"
,"所属同盟排名","소속 동맹 서열"
,"所属系谱","소속 계보"
,"所谓科学和
人文谁更有意","이른바 과학과
인문 누가 더 좋아?"
,"所谓科学和vvvvvvvvvvvvvv","이른바 과학과 vvvvvvvvvvvvvvvv이다."
,"所需时间","소요시간"
,"手动挑战","수동 도전"
,"扫荡关卡","관문을 소탕하다."
O,"承伤","부상"
,"技能","기능"
,"技能名字八个字字","기능 이름 여덟 글자"
,"技能情报","기능 정보"
,"技能配置","기능 설정"
,"技能id和等级","기능 아이디와 등급"
,"护盾","방패 보호대"
,"报酬","보수"
,"抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。
著作权人：上海哆祈哆祈网络科技有限公司  出版单位：北京青年报网际传播技术有限公司 国新出审【2020】2606号 ISBN 978-7-498-08387-6 软件著作权登记号：2020SR0799475","[한패] 이 화면에서 다음 화면으로 넘어가지 않으면 다른 폴더에 다운받은 후, 붙여넣기를 시도해주시기 바랍니다.
【2020】2606호ISBN 978-7-498-08387-6 소프트웨어저작권등록번호:20SR0799475"
,"抽取普通扭蛋10次","일반 꼬임 10회 추출"
,"拒绝","거절합니다."
,"招募十次","열 번 모집하다"
,"招募","모집하다"
,"招募一次","한 번 모집하다"
,"招募券","모집권"
,"招募券不足，是否购买？","모집권이 부족합니다. 구매하시겠습니까?"
,"招募规则","모집 규칙"
,"招募记录","모집 기록"
,"拥有","갖고 있어요."
,"持有","보유하다"
,"持有：","보유:"
,"持续30天，每日获得","30일 동안 매일 획득"
,"持 续 7 天 ， 每 日 获 得","7 일 동 안 , 매 일 획 득"
,"挂机次数","전화 끊기 횟수"
,"指令","명령어"
O,"指令升级","업그레이드"
,"指令经验+20","교육 경험+20"
,"指令配置","명령어 설정"
,"指挥官名称","지휘관 이름"
,"指挥官生日设定","지휘관 생일 설정"
,"指挥官等级 35","지휘관 등급 35"
,"指挥官等级2","지휘관 등급 2"
,"指挥官详情","지휘관상세"
,"挑战有效时间","도전 유효 시간"
,"挑战","도전하다."
,"挑战完成进度","진도 완성에 도전하다"
,"捐献后可获得","기부 후 받을 수 있다"
,"捕获","포획하다"
,"捕获猫球挑战次数 +1","고양이 공 도전 횟수+1"
,"捕获猫球2倍掉落","고양이 볼 잡기 2배"
,"换一批","한 무리의 물갈이를 하다"
,"排名","석차등하다"
,"排序","정렬하다."
,"排行榜","랭킹"
,"探索中","탐색 중"
,"探索出发","탐색 출발"
,"探索当前区域","현재 영역 탐색"
,"探索等级提升","레벨 상향 탐색"
,"探索耗时","탐색하는 데 시간이 걸리다."
,"接受","받아들이다."
,"推荐","추천한다."
,"推荐度","추천도"
,"推荐战姬","추천전희"
,"推荐效能","추천 성능"
,"推进系统","추진 시스템"
,"描述","묘사"
,"描述描述","설명"
,"描述描述描述描述描述描述描述描述描述描述描述","설명 설명 설명 설명 설명 설명 설명 설명 설명 설명 설명"
,"描述文字
描述问题","묘사문자
문제를 묘사하다"
,"提升","끌어올리다"
,"搜索","검색하다."
,"摄像机名","카메라 이름"
,"撤离","철수하다"
,"撤销申请","신청을 취하하다"
,"播放","방송하다"
,"支援战机获得","지원전투기 획득"
,"支援","지원하다"
,"支援人员","지원 인원"
,"支援战姬","지원전희"
,"支援次数：0/5","지원횟수: 0/5"
,"支援能量","지원 에너지"
,"支援说明","지원 설명"
,"支援请求","지원 요청"
,"支援队伍","지원대"
,"支援5个","5개를 지원하다"
,"收集12个季旭就可以召唤神龙","12개의 계욱을 모으면 신룡을 부를 수 있다"
,"改良及以下","개량 및 이하"
O,"攻击","공격"
,"攻击时，若目标身上有弱化抓过，伤害了增加30%","공격 때 목표물에 약화가 있으면 상처가 30%증가한다고 말했다."
,"攻击时，若目标身上有弱化状态,伤害量增加30%","공격 시 목표물에 약화된 상태가 있으면 상해량이 30%증가한다"
,"攻击 200%","200%공격"
,"攻略","공략하다"
,"攻略详情","공략상세"
,"攻略首领","우두머리를 공략하다"
,"故事第一章","이야기 제1장"
,"效果命中","효과가 적중하다."
,"效能","효능"
,"敌人信息","적정보"
,"敌方信息","적측 정보"
,"敌方情报","적국 정보"
,"敌方行动中","적의 행동 중"
,"数值预览","수치 미리보기"
,"数据查看","데이터 보기"
,"数据统计","데이터 통계"
,"数据采集","데이터 수집"
,"数据链","데이터 링크"
,"数据锁定","데이터 잠금"
,"数量","수량"
,"断章","단장"
,"新","신"
,"新功能跟描述新功能跟描述","새로운 기능과 설명 새로운 기능과 설명"
,"新增以下派遣地点/任务","다음 파견 장소/ 작업 추가"
,"新增方案","추가 방안"
,"新建文本文档","새 텍스트 문서"
,"新手","풋내기"
,"方寸","방촌"
,"方寸的名字八个字","방촌의 이름은 여덟 자이다"
,"方案","방안"
,"方案名称字数上限为七","프로젝트 이름 글자 수 상한선 7"
,"方案2","프로젝트 2"
,"施","베풀다"
,"无增益","무증익"
,"无期限","무기한"
,"无法再次修改","다시 고칠 수 없음"
,"无限制","무제한"
,"既然如此","기왕 이렇게 된 이상"
,"日常任务","일상 임무"
,"日常活动","일상 활동"
,"日","일"
,"时","때"
,"时刻","시시각각"
,"时空","시공"
,"时装总览","패션 총람"
,"星之魔法少女","별의 마법소녀"
,"星期一  19：03","월요일 19:03"
O,"星级","성급"
O,"是否分解以下装备","다음 장비를 분해하시겠습니까?"
,"是否花费","비용 여부"
,"昵称服务器繁忙，是否先跳过命名环节？跳过后，在游戏内随时可以修改","닉네임 서버가 바쁩니다. 네임 단계를 먼저 건너뛰시겠습니까?건너뛰기 후 게임 내에서는 언제든지 수정할 수 있다"
O,"普攻","기본공격"
,"普通","보통"
O,"普通奖励","일반보상"
O,"普通奖励领取","일반보상수령"
,"普通招募许可","일반모집허가"
,"暂不评论，继续体验","잠시 논평하지 않고 계속 체험하다"
,"暂不选择","선택하지 않음"
,"暂无加入申请","가입 신청이 잠시 없다"
,"暂无可派遣地点","잠시 파견할 곳이 없다"
,"暂无战报","전쟁 통보는 잠시도 없다."
,"暂无","잠시 없다"
,"暂无支援请求","지원 요청이 없습니다"
,"暂无数据","데이터가 없습니다."
,"暂无礼物","선물이 잠시 없다."
,"暂无配置","설정 없음"
,"暂无黑名单成员。","블랙리스트 회원은 없다."
,"暂未开启","열리지 않음"
,"暂未开放","아직 개방하지 않았다."
,"暂未鉴定","아직 감정하지 않았다."
,"暗区深渊","암흑의 심연못."
,"暴伤","폭상"
,"暴击","폭격을 가하다"
,"暴击伤害","폭격상해"
,"更换主要装备，素材装备会重置","주요 장비 교체, 소재 장비 리셋"
O,"更换","변경"
O,"更换徽章","휘장변경"
O,"更换时装","패션변경"
O,"更换皮肤","스킨변경"
O,"更换背景","배경변경"
O,"更换装备","장비 교체"
,"替换的附加属性存在与主属性相同，若进行合成，","교체된 부가 속성이 주 속성과 동일하게 존재하며, 합성이 이루어지면"
O,"替换","교체"
,"最低派遣战姬
","최저 파견 전희
"
,"最佳战绩","최우수 전적"
,"最佳进攻","최상의 공격"
,"最佳连胜","최고의 연승"
,"最佳防守","베스트 디펜스"
,"最后在线","라스트라인"
,"最多显示七个字得","최대 7글자 보이기"
,"最多","가장 많다"
,"最多五个字","최대 다섯 글자"
,"最多可使用20","최대 20까지 사용 가능"
,"最多合成5个","최대 5개 합성"
,"最大增加30%","최대 30%증가"
,"最少","최소"
,"最终分数","최종 점수"
,"最高排位","최고 순위"
,"最高连胜","최고 연승"
,"月海套装","월해 세트"
,"月","월"
,"月卡奖励","월카드 장려금"
,"月卡奖励累计可获得 3000原石","월 카드 보너스 누계 3000원석"
,"月度资源卡","월간 자원 카드"
,"有利属性","유리한 속성"
,"有待改进，前去提供建议！","개선이 필요하니 가서 건의를 해 주시오!"
,"有战姬达到满级时停止","전희가 만렙이 되면 정지한다."
,"有新的版本需要更新,点击确定开始更新!
","업데이트가 필요한 새 버전이 있습니다, 확인하시기를 클릭하시면 업데이트 시작!
"
,"有5个装备正在被使用，是否继续装备？","5개의 장비가 사용 중인데 계속 장비할 것인가요?"
,"服装巨鳄","복장의 거악어"
,"未上榜","미등방"
,"未开放","미개방"
,"未探明区域","미탐지 지역"
,"未知","알 수 없다"
,"未知敌人","미지의 적"
,"未知补给包","알 수 없는 보급 가방"
,"未确认飞行","미확인 비행"
,"未确认飞行物体","미확인 비행물체"
,"未获取掉落物","낙하물 미취득"
,"未获得","획득하지 않음"
,"未获得战利品","전리품을 받지 못하다"
,"未获得战姬","전희를 얻지 못하다"
,"未获得角色","배역을 받지 못했습니다"
O,"未解锁","미해금"
,"未读消息","읽지 않은 메시지"
,"未读邮件: <color=#3a9bec>999</color>","읽지 않은 메일:<color=#3a9bec>999</color>"
,"未达成","미달성"
,"本周剩余数量 1","금주 잔량 1"
,"本周可兑换","금주 교환 가능"
,"本周战绩","금주 전적"
,"本周支援次数：","이번 주 지원 횟수:"
,"本周获得贡献：","이번 주 기여:"
,"本周获得贡献：9999","이번 주 기여:9999"
,"本周贡献","금주 기여"
,"本周贡献（6天23时44分 后重置）","금주 기여(6일 23시 44분 후 리셋)"
,"本周起始","이번 주부터 시작"
,"本日挑战次数","오늘 도전 횟수"
,"本月剩余：1","이달의 잔여: 1"
,"本期全部层数已完成","이번 회기의 전체 층수가 이미 완성되었다"
,"本期剩余样本","당기잔여견본"
,"本次伤害","이번 상해"
,"本次免费","이번 무료"
,"本次必得指定战姬","이번에 반드시 전희를 지정해야 한다"
O,"本次挂机已结束","대리전투가 종료됩니다."
,"本次重置将会使战姬星级回退至原始星级，等级回退至1级，Rank等级清零技能等级清零，科技等级清零，并获得","이번 리셋으로 전희성급은 원시성급, 등급은 1등급, Rank 등급은 기능 등급은 0등급, 과학기술 등급은 0등급으로 각각 후퇴하게 될 것이다."
,"本次重置将会使角色星级回退至原始星级，等级回退至1级，Rank等级清零，技能等级清零，科技等级清零，并获得：","이번 리셋은 캐릭터 별을 원시 별로, 등급은 1등급으로, Rank 등급은 0등급, 기능 등급은 0등급, 과학기술 등급은 0등급으로 각각 후퇴시켜 획득하게 된다."
,"本次重置将会使Rank等级清零，并获得","이번 리셋으로 Rank 등급은 0이 될 것이며, 또한 획득할 것이다"
,"本赛季获得以下奖励","이번 시즌에는 다음과 같은 인센티브를 받는다"
,"机械属性积分上升","기계적 속성 포인트 상승"
,"材料预览","자료 미리보기"
,"材料","재료"
,"材料不足","재료부족"
,"材料专精","재료에 정력을 쏟다."
,"材料战姬","재료전희"
,"条件未满足","조건이 충족되지 않다"
,"来","옵니다."
O,"来自","From."
,"杰哥","걸형"
,"查找","찾다"
O,"查看图鉴","도감 보기"
O,"查看攻略","공략 보기"
O,"查看详情","자세히"
,"标题","제목"
,"样本兑换","견본환전"
,"核心","핵심"
,"核心信息","핵심 정보"
,"格林","그린"
,"格蕾丝","그레이스"
,"概述","개술하다"
,"模仿了风格个人","스타일 개인을 모방했다"
,"模拟作战","모의 작전"
,"模拟战不会获得战利品
模拟中不消耗挑战次数","모의전은 전리품을 얻을 수 없다
아날로그에서 도전 횟수를 소모하지 않음"
,"模组名称","모듈 이름"
,"樱斩套装","벚꽃 참 세트"
,"次","차"
,"正","정신병"
,"正在战斗中...","싸우는 중..."
,"正式讨伐","정식으로 토벌하다"
,"此装备已被佩戴于战姬：此装备已被佩戴于战姬：此装备已被佩戴于战姬：此装备已被佩戴于战姬：","이 장비는 이미 전희에 장착되었다. 이 장비는 이미 전희에 장착되었다. 이 장비는 이미 전희에 장착되었다."
,"此装备已被佩戴于战姬：此装备已被佩戴于战姬 此装备已被佩戴于战姬：此装备已被佩戴于战姬","이 장비는 이미 전희에 장착되었다:이 장비는 이미 전희에 장착되었다:이 장비는 이미 전희에 장착되었다."
,"武器系统","무기 체계"
,"残存HP","HP 잔존"
,"段位提升","단계별 상승"
,"段位","단계"
,"段位名称","단위명"
,"段位排名","단계별 순위"
,"母舰","모함"
,"母舰等级提示","모함 등급 안내"
,"每周任务","주간 임무"
,"每周季旭都菜","매주 욱도 요리"
,"每周特殊装备补给","매주 특수 장비 보급"
,"每回合消耗","매 라운드 소모"
,"每日任务","일일 임무"
,"每日资源副本次数 +2","일일 자원 복제 +2"
,"每日首次","매일 처음"
,"每日 12:00-24:00登舰补给","매일 12:00-24:00 등함 보급"
,"每日5点更新","매일 5시 업데이트"
,"每日5:00清空次数","일일 5:00 비우기 횟수"
,"每次捐献可获得","기부할 때마다 받을 수 있다"
,"每消耗1点能源","매번 1포인트의 에너지를 소비한다."
,"毛球工厂Lv.1","털볼 공장 Lv.1"
,"毛球","퍼볼"
,"气温","기온"
,"污染","오염시키다."
,"沉没之城1","침몰의 도시 1"
,"沉没都市","침몰도시"
,"沉没都市 K2-3 区域探索","침몰한 도시 K2-3구역 탐색"
,"沉睡沉睡（所属章节名字）","잠들어 잠들어 (소속 챕터 이름)"
,"沉默都市探索","침묵도시탐사"
,"没有可作为素材的战姬","소재 없는 전희"
,"没有可升星战姬","승성전희는 없다"
,"没有可用素材","소재 없음"
O,"治疗","치료"
O,"活动成就","이벤트 성취"
O,"活动","이벤트"
O,"活动中","이벤트 중"
O,"活动任务","이벤트 임무"
O,"活动公告","이벤트 공지"
O,"活动名字","이벤트 이름"
O,"活动商店","이벤트 스토어"
O,"活动时间","이벤트 기간"
O,"活动CG","이벤트 CG"
O,"派遣中","파견 중"
O,"派遣","파견"
O,"派遣经验","파견 Exp"
O,"派遣完成","파견 완료"
O,"派遣开始","파견 개시"
O,"派遣等级","파견 등급"
O,"派遣Exp + 10 / 战姬Exp+10","파견Exp + 10 / 전희Exp + 10"
,"派 遣 等 级","등급을 파견하다."
,"流畅度","유창도"
,"测试剧情对话","줄거리의 대화를 시험하다."
,"测试2","테스트 2"
,"浴室","욕실"
,"海格力","해격력"
,"海格力斯","헤글리스"
,"海格力斯武装","헤글리스 무장"
,"涂装一览","도장 일람"
O,"消耗","소모"
O,"消耗材料","재료 소모"
O,"消耗道具","소모 도구"
O,"消耗 ","소모 "
O,"消耗 //","소모//"
O,"消耗5点能量","에너지 5 소모"
,"清空","비우다"
,"清空已选","선택된 것을 비우다"
,"清除选项","옵션 지우기"
,"渲染强化","렌더링 강화"
,"游戏公告","게임 공지"
,"游戏加载中","게임 다운로드 중"
,"游戏帧率","게임 프레임률"
,"游戏游戏游戏戏","게임 게임 신"
,"湛蓝都市","짙푸른 도시"
,"满能量自动释放技能","에너지 자동 방출 기능"
,"演习2","연습 2"
,"演习","연습하다"
,"演习结算可以","연습 결제는 가능"
,"演习1","연습 1"
,"火力支援","화력 지원"
,"火控系统","화기 제어 시스템"
,"火石套装","파이어스톤 세트"
,"火石核心装甲","화석 핵심 장갑"
,"炮击支援","포격 지원"
O,"点击任意位置以关闭","나가려면 아무 곳이나 클릭해주세요"
O,"点击任意位置跳过","건너띄려면 아무 곳이나 클릭해주세요"
O,"点击加载更多","더 불러오려면 클릭해주세요"
,"点击屏幕季旭","화면 계욱 클릭"
O,"点击屏幕继续","화면을 탭하여 계속"
,"点击此处继续","계속하시려면 누르십시오"
,"点击此处进入拼图","그림%1개의 캡션을 편집했습니다."
,"点击添加支援队伍","지원 그룹 추가를 누르십시오"
O,"点击空白处关闭","닫으시려면 여백을 누르십시오"
,"点击输入","클릭 입력"
,"点评","평론하다"
,"热熔","열융해"
,"热熔属性有利","열융합 속성이 유리하다"
,"热门评论","인기 평론"
,"照准系统","조준 시스템"
,"燃","불붙다"
,"燃风矿团","연풍광단"
,"爱丽菲斯","엘리피스"
,"物品","물품"
,"物品获得","물품 획득"
O,"物理伤害 +5%","물리피해 +5%"
,"物资","물자"
,"特别采购","특별구매"
,"特级指令","특급 지령"
,"特级补充协议","특급 추가 협의"
,"状态命中","컨디션이 명중되다"
,"状态回合中状态回合中状态回合中状态回合中状态回合中状态回合中","컨디션 라운드 중 컨디션 라운드 중 컨디션 라운드 중 컨디션 라운드 중 컨디션 라운드 중 컨디션 라운드 중"
,"状态抗性:","상태저항:"
,"状态抵抗","상태저항"
,"犹格","유거"
,"猛禽烈炮
LV","맹금열포
LV"
,"猛禽烈炮LV","맹금열포 LV"
O,"猫球存储上限","캣볼 보관한도"
,"猫球工厂","캣볼 공장"
,"猫球工厂  等级提升","캣볼 공장 등급 상향"
,"猫球正在清理该成员的信息,还需要10时35分","고양이 공이 이 성원의 정보를 치우고 있으니 아직 10시 35분이 필요하다."
,"猫球获取效率","고양이 볼 효율성취득"
O,"玩家信息","플레이어 정보"
O,"玩家名字","플레이어 이름"
O,"玩家名字是方寸吧","플레이어 이름은 방촌입니다"
O,"玩家等级限制","플레이어 레벨 제한"
O,"玩家ID","플레이어 ID"
O,"玩法引导","플레이어 가이드"
,"环境设定","환경설정"
,"生命什么","생명이란?"
,"生命","생명"
,"生命力:","생명력:"
,"生命生命","생명 생명"
,"生日","생일"
,"用于初始3※和5⭐※战姬技能升级的高级装置，可以在活动或商店中获得。","초기 3 ※과 5 ⭐ ※전희 스킬 업그레이드에 사용되는 고급 장치는 이벤트 또는 스토어에서 얻을 수 있습니다."
,"用于制作「樱斩」系列装备。
「武神锻钢厂」的工匠反复锤炼之后制成的材料钢。用这种钢制成的武器可以轻易切开傀儡的身体。","「벚꽃참」시리즈의 제작에 사용됩니다.
《무신단강공장》의 장인은 반복적으로 제련하여 만든 재료강이다.이런 강철로 만든 무기는 꼭두각시의 몸을 쉽게 절개할 수 있다."
,"用户中心","사용자 센터"
,"用户协议","사용자 협의"
,"用户协议相关","사용자 협약 관련"
,"用来突破代替2星，也就是特殊狗粮，不是强用来突破代替2星，也就是特殊狗粮，不是强用来突破代替2星，也就是特殊狗粮，不是强用来突破代替2星，也就是特殊狗粮，不是强用来突破代替2星，也就是特殊狗粮，不是强用来突破代替2星，也就是特殊狗粮，不是强用来突破代替2星，也就是特殊狗粮，不是强","별 2개, 즉 특수견미 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 특수견미 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 돌파를 위한 특수견미, 특수견미, 대체를 위한 돌파를 위한 특수견미, 대체를 위한 추가를 위한 추가를 위한 추가를 위한 추가를 위한 추가할 수 있다."
,"申请","신청하다."
,"申请中","신청 중"
,"申请列表","신청 목록"
,"电磁","전자기"
,"画师","화사"
,"画师名字有八个字","화사의 이름은 여덟 자이다"
,"画质等级","화질 등급"
,"画质","화질"
,"登出账号","계좌번호 등록"
,"白","백"
,"白银组","은조"
,"百科","백과"
,"百科显示","백과현상"
,"皇女任务","황녀 임무"
,"皮肤鉴赏","피부 감상"
,"目前无可加入同盟","현재 동맹에 가입할 수 없습니다"
,"目标奖励","표창"
,"目标已歼灭","목표가 이미 섬멸되었다"
,"目标歼灭","목표가 섬멸되다."
,"目标达成","목표를 달성하다"
,"目标 07时 32分 后撤退","목표 07시 32분 후 철수"
,"省电模式","절전 모드"
,"省电模式中，自动静音","절전 모드에서 자동 무음"
,"瞄准元件","조준 소자"
,"研发","연구 개발하다"
,"硝烟记忆","포연 기억"
,"确定要删除方案吗？","프로젝트를 삭제하시겠습니까?"
O,"确定","확인"
,"确定要卸下所有装备吗","모든 장비를 제거하시겠습니까?"
,"确定要替换方案吗？","프로젝트를 변경하시겠습니까?"
O,"确定
","확인
"
O,"确认","확인"
O,"确认退役","퇴역 확인"
O,"确 认","확 인"
,"碎片已置入
点击去下该碎片","파편 저장됨
이 조각으로 가려면 누르십시오."
,"碎片盒","파편 케이스"
,"磁场套装","자기장 세트"
,"礼包包含以下装备","선물세트에는 다음의 장비가 포함되어 있다"
,"礼包码","선물 꾸러미"
,"福利","복리후생"
,"离开","떠나다."
O,"离开战斗","전투 종료"
,"离开战斗不会消耗挑战次数","전투를 떠나면 도전 횟수를 소모하지 않는다"
O,"离开战斗会丢失已获得的战利品","전투를 끝내면 얻은 전리품을 받지 못합니다."
,"离开试玩","시연을 떠나다"
,"离线","오프라인"
,"离线战报","오프라인 전보"
,"离线时战斗继续","오프라인에는 전투가 계속된다."
,"私聊","사담"
,"科技","과학 기술"
,"科研密钥","과학 연구 키"
,"积分","적분"
,"积分奖励","마일리지 인센티브"
,"称号","칭호"
,"稀有及以下","희귀한 것과 그 이하."
,"稀有度","희소도"
,"空月祝福","빈 달의 축복"
,"空闲中","한가한 중"
,"空降","공수"
,"空降师团","공수 사단"
